Poisonous,Cap-shape,Cap-surface,Cap-color,Bruises,Odor,Gill-attachment,Gill-spacing,Gill-size,Gill-color,Stalk-shape,Stalk-root,Stalk-surface-above-ring,Stalk-surface-below-ring,Stalk-color-above-ring,Stalk-color-below-ring,Veil-type,Veil-color,Ring-number,Ring-type,Spore-print-color,Population,Habitat,epsilon
e,k,s,b,f,s,f,w,n,o,t,e,s,s,c,e,p,n,o,n,o,s,m,2.0
e,b,f,c,f,l,a,c,b,o,t,b,k,k,y,g,p,n,t,e,n,c,d,2.0
e,x,f,u,f,m,a,c,n,n,t,r,k,s,y,g,p,y,n,f,k,y,m,2.0
e,x,g,r,t,y,f,w,b,h,t,b,k,s,y,w,p,y,o,l,b,v,p,2.0
p,f,f,p,f,y,f,w,n,g,e,r,k,f,g,e,p,w,t,n,n,y,d,2.0
e,f,f,u,t,a,a,w,n,g,e,e,y,k,b,g,p,y,t,p,h,c,w,2.0
p,s,f,u,f,s,f,w,b,o,t,b,y,s,e,w,p,y,t,n,u,y,l,2.0
e,f,g,e,f,c,f,c,n,r,t,e,s,y,b,c,p,n,t,p,o,n,l,2.0
e,k,g,w,f,y,f,w,b,h,t,c,f,s,y,c,p,n,t,n,u,n,w,2.0
p,c,s,c,t,c,f,c,b,h,t,r,k,s,n,e,p,w,n,p,b,c,u,2.0
e,c,f,b,t,y,a,w,n,o,e,r,k,f,p,e,p,n,o,n,b,y,d,2.0
e,x,y,p,t,p,f,w,b,o,t,?,y,y,w,o,p,w,n,l,h,y,p,2.0
p,s,s,u,f,c,a,c,b,k,e,c,y,k,g,w,p,w,n,f,o,s,p,2.0
e,x,y,y,f,c,a,c,n,k,e,r,y,k,n,e,p,w,o,e,u,n,w,2.0
p,k,s,y,t,f,f,c,b,g,e,?,k,y,n,o,p,y,t,n,n,c,g,2.0
p,s,f,p,t,l,f,w,n,e,e,r,f,y,b,p,p,o,o,f,r,y,w,2.0
p,c,f,y,t,a,f,w,n,r,e,r,k,y,y,p,p,n,o,n,w,c,w,2.0
p,f,g,r,t,s,f,c,b,e,e,r,f,s,b,g,p,y,n,p,r,v,m,2.0
p,s,f,n,t,p,f,c,b,p,t,b,f,f,c,c,p,o,o,l,b,y,l,2.0
e,k,s,b,f,a,f,w,n,g,e,c,k,y,g,b,p,w,o,e,r,c,l,2.0
p,f,s,e,t,l,a,w,b,e,t,e,k,k,o,e,p,o,n,n,w,v,g,2.0
e,s,s,r,f,n,f,w,n,g,e,r,s,k,b,b,p,n,t,e,k,a,p,2.0
e,k,g,w,t,l,f,w,n,o,e,b,s,k,o,y,p,y,n,f,h,s,g,2.0
p,f,s,e,t,l,f,w,b,u,t,c,f,f,b,o,p,y,o,p,n,y,u,2.0
e,c,y,e,t,s,a,c,b,u,t,e,s,y,c,n,p,y,t,f,o,a,d,2.0
p,c,f,g,t,a,f,c,b,w,t,b,s,s,c,y,p,y,n,f,o,n,p,2.0
e,x,f,e,t,l,f,c,n,y,t,?,f,y,o,w,p,y,o,p,n,v,l,2.0
e,f,g,w,f,s,f,c,b,b,t,e,k,k,e,w,p,o,t,n,b,c,g,2.0
e,k,s,c,t,y,a,c,b,w,e,r,k,y,g,b,p,n,n,l,y,n,l,2.0
e,c,s,b,t,p,a,w,n,r,t,r,f,y,o,p,p,o,o,e,h,n,w,2.0
e,s,s,w,f,f,a,w,n,y,e,b,f,s,n,o,p,n,o,p,r,c,g,2.0
p,b,f,w,f,n,f,w,b,n,t,e,s,f,c,n,p,y,t,l,n,y,w,2.0
p,s,g,p,f,n,a,c,b,b,t,b,s,s,n,g,p,y,o,l,n,s,l,2.0
p,c,f,w,f,m,a,c,b,b,e,b,s,y,b,n,p,w,o,f,n,n,l,2.0
p,k,y,y,f,s,a,c,n,h,t,?,y,k,w,o,p,y,t,n,r,s,d,2.0
e,c,g,e,f,s,a,c,n,p,t,?,y,f,p,e,p,n,o,p,h,a,u,2.0
e,b,y,c,t,l,a,w,b,e,t,r,k,f,n,e,p,w,n,e,u,s,d,2.0
p,c,g,b,f,y,f,c,b,y,t,r,y,f,w,n,p,w,n,e,u,c,l,2.0
p,s,s,n,t,s,f,c,n,n,e,r,k,k,g,w,p,n,t,n,b,a,w,2.0
p,c,g,c,f,f,a,c,n,k,t,?,k,k,y,e,p,o,t,l,b,y,p,2.0
e,s,f,r,f,l,f,c,n,o,t,b,k,f,p,b,p,o,n,p,r,v,m,2.0
e,b,y,y,f,y,a,w,b,k,e,c,y,y,n,g,p,w,n,l,b,s,u,2.0
p,k,f,e,f,c,a,w,b,p,e,b,k,y,p,n,p,n,o,l,h,a,u,2.0
p,k,s,r,t,c,f,w,b,u,e,e,s,y,n,o,p,n,t,p,w,c,m,2.0
e,c,f,y,t,l,a,w,n,n,t,r,k,f,b,o,p,y,t,l,k,s,g,2.0
p,s,s,b,t,n,a,c,b,n,t,e,k,s,w,e,p,n,o,n,o,y,g,2.0
e,x,y,g,f,a,a,w,n,n,e,e,f,f,e,e,p,n,t,l,k,c,m,2.0
e,k,s,b,f,y,a,c,b,p,t,c,k,f,c,y,p,y,o,n,y,v,u,2.0
